qid,query
4641,Where should I park my rainy-day / emergency fund? 1. High-yield savings accounts 2. Money market funds 4. Treasury bills 5. Government bonds 6. Fixed deposits 7. Safekeeping accounts
5503,Tax considerations for selling a property below appraised value to family? 1. Capital gains tax 2. Inheritance tax 3. Gift tax 4. Property tax 5. Appraisal discrepancy 6. Tax deduction 7. Basis adjustment 8. Taxable gain 9. Exclusion limit
7803,Can the Delta be used to calculate the option premium given a certain target? - Delta hedging - Option premium - Target price - Volatility - Greeks - Risk management - Financial derivatives - Market volatility - Arbitrage - Implied volatility
7017,Basic Algorithmic Trading Strategy - Trading signals - Moving averages - Stop-loss orders - Risk management - Position sizing - Technical indicators - Market volatility - Algorithm optimization - Backtesting - Execution speed
10152,What does a high operating margin but a small but positive ROE imply about a company? 1. Efficient Operations 2. Modest Profitability 3. Strong Equity 4. Capital Structure 5. Low Leverage 6. Investment Efficiency 7. Cost Management 8. Shareholder Value 9. Financial
3451,Should you keep your stocks if you are too late to sell? 1. Timing 2. Market Entry 3. Sell Decision 4. Investment Hold 5. Late Trading 6. Portfolio Management 7. Risk Assessment 8. Capital Gains 9. Dividend Yield 1
4804,How do financial services aimed at women differ from conventional services? 1. Women-focused 2. Financial literacy 3. Investment products 4. Savings accounts 5. Retirement planning 6. Credit services 7. Insurance products 8. Microfinance 9. Finan
7911,What is the difference between a trader and a stockbroker ? - Trader roles - Stockbroker responsibilities - Market speculation - Investment strategies - Financial advising - Stock trading - Portfolio management - Regulatory compliance - Risk assessment - Market analysis
10809,Definitions of leverage and of leverage factor - debt-to-equity ratio - financial leverage - gearing ratio - leverage effect - leverage multiplier - leverage ratio - leverage percentage - leverage ratio - leverage utilization - margin of safety
6715,What does it mean if “IPOs - normally are sold with an `underwriting discount` (a built in commission)” underwriting discount IPO commission capital raising equity issuance initial public offering investment securities financial markets shareholder
2388,Do financial advisors get better deals on mortgages? 1. Mortgage advisors 2. Lower rates 3. Negotiated terms 4. Financial expertise 5. Lender relationships 6. Rate comparison 7. Interest savings 8. Loan origination 9. Financial
753,Taxes due for hobbyist Group Buy - Hobby taxation - Group purchase tax - Tax liability - Hobbies tax - Tax deductions - Group Buy tax - Taxable income - Tax return - Tax credits - Tax planning
4465,How to donate to charity that will make a difference? Charitable giving impact investing philanthropy donation strategies non-profit support effective altruism social impact charity evaluation donor engagement fundraising
7326,Do brokers execute every trade on the exchange? 1. Trade execution 2. Exchange operations 3. Brokerage services 4. Order matching 5. Market transparency 6. Trade confirmation 7. Settlement process 8. Liquidity provision 9. Price discovery 10.
5951,Why can t house prices be out of tune with salaries - Wage stagnation - Income inequality - Housing affordability - Real estate bubble - Economic disparity - Cost of living - Housing market - Salary growth - Housing demand - Economic policy
5653,Steps and timing of the SEIS investment (in the UK) - Initial application deadline - Investment decision - Funding allocation - Investor reporting - Exit strategy - Tax relief period - Capital gains implications - Regulatory compliance - Investor eligibility criteria - Funding round
10827,How much should I be contributing to my 401k given my employer s contribution? 401k contribution employer match retirement savings investment strategy contribution rate financial planning tax-deferred growth retirement age savings rate financial advisor
9771,Is there any emprical research done on adding to a loser market analysis investment strategy risk assessment financial performance stock valuation portfolio diversification market trends empirical data economic indicators investment returns
7105,What is the difference between fixed-income duration and equity duration? - Bond maturity - Interest rate sensitivity - Equity volatility - Credit risk - Yield curve - Dividend discount model - Capital gains - Market capitalization - Price-to-earnings ratio - Duration
9332,What can I do with a physical stock certificate for a now-mutual company? 1. Transfer ownership 2. Sell certificate 3. Endorse for transfer 4. Archive document 5. Liquidate asset 6. Convert to shares 7. Register transfer 8. Certificate redemption 9. Secure storage 1
3724,Should you always max out contributions to your 401k? retirement planning contribution limits financial advice investment strategy tax implications retirement accounts employer match financial planning compound interest savings rate
5853,Paying Off Principal of Home vs. Investing In Mutual Fund - Debt Repayment - Mortgage Reduction - Investment Alternatives - Risk Assessment - Opportunity Cost - Financial Planning - Interest Rates - Equity Building
6832,incorrect printed information on check stock 1. Check verification 2. Printing errors 3. Banknote discrepancies 4. Ink smudging 5. Watermark issues 6. Security features 7. Paper quality 8. Printing defects 9. Image misalign
6807,How to incorporate dividends while calculating annual return of a Stock 1. Dividend Yield 2. Annual Dividend 3. Total Return 4. Stock Performance 5. Investment Growth 6. Dividend Reinvestment 7. Compound Interest 8. Capital Gains 9. D
570,Employer options when setting up 401k for employees 1. Employer matching 2. Vesting schedule 3. Contribution limits 4. Plan type 5. Investment options 6. Loan provisions 7. Early withdrawal penalties 8. Automatic enrollment 9.
7279,"If I invest in securities denominated in a foreign currency, should I hedge my currency risk? - Foreign exchange risk - Currency hedging - Derivative instruments - Swap agreements - Currency options - Forward contracts - Currency risk management - International investment - Exchange rate fluctuations - Hedging strategies"
594,Should a retail trader bother about reading SEC filings 1. Regulatory compliance 2. Investor disclosures 3. Market transparency 4. Trading regulations 5. Financial statements 6. Insider trading 7. Market abuse 8. Risk management 9.
10122,Why diversify stocks/investments? Risk reduction portfolio balance market exposure asset allocation investment growth volatility management capital preservation diversification benefits investment strategy financial stability
3091,Am I considered in debt if I pay a mortgage? 1. Mortgage debt 2. Homeownership 3. Debt obligation 4. Principal payment 5. Interest expense 6. Loan amortization 7. Debt servicing 8. Equity build-up 9. Fin
904,How do I set up Quickbooks for a small property rental company that holds its properties in separate LLC s? 1. Quickbooks 2. Property Rental 3. LLC 4. Accounting 5. Tax Preparation 6. Financial Management 7. Bookkeeping 8. Inventory Tracking 9. Revenue Recognition 10.
4037,How separate individual expenses from family expenses in Gnucash? 1. Separate accounts 2. Personal budget 3. Family budget 4. Expense tracking 5. Account segregation 6. Budget categories 7. Ledger division 8. Transaction tagging 9. Account reconciliation 10
